"","COSECHA","SITUACION_AMORTIZACION","REGIMEN","IN_CEDIDA","N","SALDO_TOTAL","EPRC_TOTAL","EPRE_TOTAL","RKP_TOTAL","COBERTURA_CEK"
"96",1993,"A. Segregada","REA","Bursatilizada",3427,1083330988.95428,0,0,0,0
"97",1993,"A. Segregada","ROA","Bursatilizada",221,48981012.1935247,0,0,0,0
"98",1993,"B. Sin pago","REA","Propia",770,276699393.550006,122043960.86,3176791.19,2079789.18,46.0068016762724
"99",1993,"B. Sin pago","ROA","Propia",297,81309769.3723923,34971404.98,379752.49,850964.1,44.5237046537387
"100",1993,"C. Pago insuficiente","REA","Propia",40,16932061.4365263,3092894.25,8469914.59,784519.91,72.9227731442317
"101",1993,"C. Pago insuficiente","ROA","Propia",489,220371533.961294,26597358.6,119675040.4,12181239.85,71.902952255998
"102",1993,"D. Amortización parcial","REA","Propia",112,33500501.0331452,3599723.24,13760289.33,2072698.66,58.0072256554414
"103",1993,"D. Amortización parcial","ROA","Propia",918,252891754.624703,24100931.27,91550213.5,14242922.17,51.3635041730663
"104",1993,"E. Amortización plena","REA","Propia",87,9233188.46858612,1709363.54,688417.8,587744.29,32.3347199091364
"105",1993,"E. Amortización plena","ROA","Propia",1387,136010885.146993,9887632.88,4034382.86,8444482.84,16.4446386447876
"106",1994,"A. Segregada","REA","Bursatilizada",4014,1439229660.52189,0,0,0,0
"107",1994,"A. Segregada","ROA","Bursatilizada",222,55753207.401658,0,0,0,0
"108",1994,"B. Sin pago","REA","Propia",1457,685515856.570053,318783942.52,8137758.43,4098914.51,48.2878130808303
"109",1994,"B. Sin pago","ROA","Propia",396,104516178.749141,43431581.1,2725724.37,1256995.04,45.3655128588305
"110",1994,"C. Pago insuficiente","REA","Propia",93,51976914.6222196,6579773.09,32565925.66,2908241.07,80.9088806553023
"111",1994,"C. Pago insuficiente","ROA","Propia",934,528750803.884289,46283972.12,318992358.54,31267024.74,74.9962652514055
